index	version	enabled	ladder	rarity	nolimit	Level	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	End
Joel's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	95	50	20													0
SirGeneral's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	95	50	15													0
Ricfaith's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	95	50	10													0
Apocolypse Demon's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	94	50	25													0
Brother Laz's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	94	50	20													0
Myhrginoc's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	94	50	15													0
Om's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	94	50	10													0
Hellbound's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	90	50	25													0
smartguy's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	90	50	20													0
Inkspot's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	90	50	15													0
Rikari's Mega	100	1		10	1	99	16	cm6	charm			100	25000	oran	oran						sock	6			light		1	5	res-all		5	30	ac		10	200	att		20	400	swing3		10	50	hp		10	400	mana		10	400	charged	90	50	10													0
Avendi's Grip	100	1		10	1	99	16	lgl	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Vise	100	1		10	1	99	16	vgl	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Crush	100	1		10	1	99	16	mgl	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Death Strike	100	1		10	1	99	16	tgl	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Wounding Touch	100	1		10	1	99	16	hgl	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Fist	100	1		10	1	99	16	xlg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Hold	100	1		10	1	99	16	xvg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Insult	100	1		10	1	99	16	xmg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Smack	100	1		10	1	99	16	xtg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Punch	100	1		10	1	99	16	xhg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Slap	100	1		10	1	99	16	ulg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Clasp	100	1		10	1	99	16	uvg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Finger	100	1		10	1	99	16	umg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Thumb	100	1		10	1	99	16	utg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Avendi's Hand	100	1		10	1	99	16	uhg	gloves			100	25000	oran	oran						sock	4			rep-dur	5			att%		5	100	ac		5	40	swing3		5	40	dmg%		5	40	hit-skill	38	3	10																					0
Hogue's Step	100	1		10	1	99	16	lbt	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Pitter Patter	100	1		10	1	99	16	vbt	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Footprint	100	1		10	1	99	16	mbt	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Grim Tracks	100	1		10	1	99	16	tbt	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Tip Toe	100	1		10	1	99	16	hbt	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Sprint	100	1		10	1	99	16	xlb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's March	100	1		10	1	99	16	xvb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Stroll	100	1		10	1	99	16	xmb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Walk	100	1		10	1	99	16	xtb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Skip	100	1		10	1	99	16	xhb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Run	100	1		10	1	99	16	ulb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Escape	100	1		10	1	99	16	uvb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Marathon	100	1		10	1	99	16	umb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Stumble	100	1		10	1	99	16	utb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Hogue's Dance	100	1		10	1	99	16	uhb	boots			100	25000	lpur	lpur						sock	4			rep-dur	5			move3		5	50	ac		5	20	stam		5	50	gethit-skill	54	3	20																									0
Tania's Belly	100	1		10	1	99	16	lbl	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Midriff	100	1		10	1	99	16	vbl	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Embrace	100	1		10	1	99	16	mbl	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Girdle	100	1		10	1	99	16	tbl	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Veil	100	1		10	1	99	16	hbl	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Skirt	100	1		10	1	99	16	zlb	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Web	100	1		10	1	99	16	zvb	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Hold	100	1		10	1	99	16	zmb	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Circle	100	1		10	1	99	16	ztb	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Support	100	1		10	1	99	16	zhb	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Brace	100	1		10	1	99	16	ulc	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Hip	100	1		10	1	99	16	uvc	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Center	100	1		10	1	99	16	umc	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Ware	100	1		10	1	99	16	utc	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Tania's Middle	100	1		10	1	99	16	uhc	belt			100	25000	lgld	lgld						sock	2			rep-dur	5			balance3		5	50	ac		5	20	thorns		100	300	gethit-skill	68	3	20																									0
Kyra's Belly	100	1		10	1	99	10	lbl	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Midriff	100	1		10	1	99	10	vbl	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Embrace	100	1		10	1	99	10	mbl	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Girdle	100	1		10	1	99	10	tbl	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Veil	100	1		10	1	99	10	hbl	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Skirt	100	1		10	1	99	10	zlb	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Web	100	1		10	1	99	10	zvb	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Hold	100	1		10	1	99	10	zmb	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Circle	100	1		10	1	99	10	ztb	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Support	100	1		10	1	99	10	zhb	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Brace	100	1		10	1	99	10	ulc	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Hip	100	1		10	1	99	10	uvc	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Center	100	1		10	1	99	10	umc	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Ware	100	1		10	1	99	10	utc	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Kyra's Middle	100	1		10	1	99	10	uhc	belt			100	15000	lyel	lyel						sock	2			rep-dur	5			balance2		5	20	move1		5	20	light-thorns		100	300	gethit-skill	40	3	20																									0
Thydra's Circle	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Sparkle	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Bauble	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Chime	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Knackery	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Knickery	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Knockery	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Watch	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Brace	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Whim	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Pantomine	100	1		10	1	99	20	rin	ring			100	30000	dgrn	dgrn						sock	1			att%		5	40	swing2		5	20	dmg-ltng		5	60	att-skill	53	5	20	regen		2	20	sor		1	5																					0
Thydra's Spirit	100	1		10	1	99	20	amu	amulet			100	30000	dgrn	dgrn						sock	1			ac%		5	40	cast2		5	20	light-thorns		100	500	gethit-skill	53	5	20	regen-mana		20	100	sor		1	5																					0
Thydra's Soul	100	1		10	1	99	20	amu	amulet			100	30000	dgrn	dgrn						sock	1			ac%		5	40	cast2		5	20	light-thorns		100	500	gethit-skill	53	5	20	regen-mana		20	100	sor		1	5																					0
Thydra's Idea	100	1		10	1	99	20	amu	amulet			100	30000	dgrn	dgrn						sock	1			ac%		5	40	cast2		5	20	light-thorns		100	500	gethit-skill	53	5	20	regen-mana		20	100	sor		1	5																					0
Thydra's Fantasy	100	1		10	1	99	20	amu	amulet			100	30000	dgrn	dgrn						sock	1			ac%		5	40	cast2		5	20	light-thorns		100	500	gethit-skill	53	5	20	regen-mana		20	100	sor		1	5																					0
Thydra's Dream	100	1		10	1	99	20	amu	amulet			100	30000	dgrn	dgrn						sock	1			ac%		5	40	cast2		5	20	light-thorns		100	500	gethit-skill	53	5	20	regen-mana		20	100	sor		1	5																					0
Bam Bam's Big	100	1		10	1	99	16	clb	club			100	25000	dred	dred						sock	6			knock		1	1	dmg%/lvl	8			dmg-norm		30	150	crush		20	80	swing3		30	120	light		2	5	rep-dur	15	15	15																	0
Bam Bam's Pointy	100	1		10	1	99	16	spc	club			100	25000	dred	dred						sock	6			knock		1	1	dmg%/lvl	8			dmg-norm		30	150	crush		20	80	swing3		30	120	light		2	5	rep-dur	15	15	15																	0
Bam Bam's Hefty	100	1		10	1	99	16	9cl	club			100	25000	dred	dred						sock	6			knock		1	1	dmg%/lvl	8			dmg-norm		30	150	crush		20	80	swing3		30	120	light		2	5	rep-dur	15	15	15																	0
Bam Bam's Nasty	100	1		10	1	99	16	9sp	club			100	25000	dred	dred						sock	6			knock		1	1	dmg%/lvl	8			dmg-norm		30	150	crush		20	80	swing3		30	120	light		2	5	rep-dur	15	15	15																	0
Bam Bam's Heavy	100	1		10	1	99	16	7cl	club			100	25000	dred	dred						sock	6			knock		1	1	dmg%/lvl	8			dmg-norm		30	150	crush		20	80	swing3		30	120	light		2	5	rep-dur	15	15	15																	0
Bam Bam's Smashy	100	1		10	1	99	16	7sp	club			100	25000	dred	dred						sock	6			knock		1	1	dmg%/lvl	8			dmg-norm		30	150	crush		20	80	swing3		30	120	light		2	5	rep-dur	15	15	15																	0
Thawg's Vengeance	100	1		10	1	99	13	whm	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Anger	100	1		10	1	99	13	mau	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Fury	100	1		10	1	99	13	gma	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Malice	100	1		10	1	99	13	9wh	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Venom	100	1		10	1	99	13	9m9	mace			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Slaughter	100	1		10	1	99	13	9gm	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Reaper	100	1		10	1	99	13	7wh	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Mayhem	100	1		10	1	99	13	7m7	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Thawg's Cry	100	1		10	1	99	13	7gm	hammer			100	20000	cblu	cblu						sock	6			dmg/lvl	16			dmg-fire		60	180	deadly		20	75	swing3		20	80	rep-dur	10	10	10																									0
Gryndar's Smashy	100	1		3	1	99	66	mac	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Crushy	100	1		3	1	99	66	mst	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Squishy	100	1		3	1	99	66	fla	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Splatty	100	1		3	1	99	66	9ma	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Bashy	100	1		3	1	99	66	9mt	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Mashy	100	1		3	1	99	66	9fl	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Smunchy	100	1		3	1	99	66	7ma	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Blammy	100	1		3	1	99	66	7mt	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Gryndar's Smacky	100	1		3	1	99	66	7fl	mace			100	100000	cblu	cblu						sock	6			knock		1	1	stupidity		1	1	dmg/lvl	20			swing3		60	150	crush		60	90	rep-dur	25	25	25	dmg%/lvl	12			dmg-min		100	240	dmg%		20	50									0
Boltar's Tooth	100	1		10	1	99	16	ba1	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Jaw	100	1		10	1	99	16	ba2	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Skull	100	1		10	1	99	16	ba3	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Ear	100	1		10	1	99	16	ba4	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Scalp	100	1		10	1	99	16	ba5	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Nose	100	1		10	1	99	16	ba6	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Lip	100	1		10	1	99	16	ba7	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Eye	100	1		10	1	99	16	ba8	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Cheek	100	1		10	1	99	16	ba9	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Brow	100	1		10	1	99	16	baa	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Lash	100	1		10	1	99	16	bab	barb			100	25000	lblu	lblu						sock	4			balance3		20	50	half-freeze		1	1	res-pois-len		50	50	ac		20	50	red-dmg		20	40	rep-dur	10	10	10																					0
Boltar's Temple	100	1		5	1	99	23	bac	barb			100	35000	lblu	lblu						sock	4			balance3		40	80	nofreeze		1	1	res-pois-len		100	100	ac		20	50	red-dmg		30	60	rep-dur	15	15	15																					0
Boltar's Face	100	1		5	1	99	23	bad	barb			100	35000	lblu	lblu						sock	4			balance3		40	80	nofreeze		1	1	res-pois-len		100	100	ac		20	50	red-dmg		30	60	rep-dur	15	15	15																					0
Boltar's Visage	100	1		5	1	99	23	bae	barb			100	35000	lblu	lblu						sock	4			balance3		40	80	nofreeze		1	1	res-pois-len		100	100	ac		20	50	red-dmg		30	60	rep-dur	15	15	15																					0
Boltar's Crown	100	1		5	1	99	23	baf	barb			100	35000	lblu	lblu						sock	4			balance3		40	80	nofreeze		1	1	res-pois-len		100	100	ac		20	50	red-dmg		30	60	rep-dur	15	15	15																					0
Baub's Vengeance	100	1		15	1	99	6	whm	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Anger	100	1		15	1	99	6	mau	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Fury	100	1		15	1	99	6	gma	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Malice	100	1		15	1	99	6	9wh	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Venom	100	1		15	1	99	6	9m9	mace			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Slaughter	100	1		15	1	99	6	9gm	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Reaper	100	1		15	1	99	6	7wh	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Mayhem	100	1		15	1	99	6	7m7	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
Baub's Cry	100	1		15	1	99	6	7gm	hammer			100	10000	lblu	lblu						sock	4			knock		1	1	dmg/lvl	4			dmg%/lvl	4			swing2		10	40	rep-dur	5	5	5																									0
