Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Ease	1	1	1	15	0	11			0	1	30	ease	0	-200	-200	ease-string	0	-20	-20		0	0	0			tors	weap	shld	    	    	    	    	rod 	orb 	    	0	0	0
of Freedom	100	1	1	1	0	1			0	1	30	ease	0	-100	-100	ease-string	0	-10	-10		0	0	0			jewl	ncha	ocha	rcha	    	    	    	    	    	    	0	0	0
of Strength	1	1	1	1	0	1			0	1	31	str	0	1	2		0	0	0		0	0	0			amul	belt	club	hamm	circ	    	    	    	    	    	0	0	0
of Might	1	1	1	10	0	8			0	1	31	str	0	3	5		0	0	0		0	0	0			amul	belt	club	hamm	circ	    	    	    	    	    	0	0	0
of the Ox	1	1	1	26	0	19			0	1	31	str	0	6	9		0	0	0		0	0	0			amul	belt	club	hamm	circ	    	    	    	    	    	0	0	0
of the Giant	1	1	1	42	0	34			0	1	31	str	0	10	15		0	0	0		0	0	0			amul	belt	club	hamm	circ	    	    	    	    	    	0	0	0
of the Titan	1	1	1	58	0	50			0	1	31	str	0	16	20		0	0	0		0	0	0	1	dgld	amul	belt	club	hamm	circ	    	    	    	    	    	0	0	0
of Atlus	100	1	1	71	0	50			0	1	31	str	0	21	30		0	0	0		0	0	0	1	dgld	amul	belt	club	hamm	circ	    	    	    	    	    	0	0	0
of Strength	1	1	1	1	10	1			0	1	31	str	0	1	1		0	0	0		0	0	0			ring	glov		    	    	    	    	    	    	    	0	0	0
of Strength	1	1	1	5	0	3			0	1	31	str	0	1	2		0	0	0		0	0	0			ring	scep	mace	tors	    	    	    	    	    	    	0	0	0
of Might	1	1	1	21	0	15			0	1	31	str	0	3	5		0	0	0		0	0	0			ring	scep	mace	tors	    	    	    	    	    	    	0	0	0
of the Ox	1	1	1	38	0	30			0	1	31	str	0	6	9		0	0	0		0	0	0			ring	scep	mace	tors	    	    	    	    	    	    	0	0	0
of the Giant	1	1	1	55	0	47			0	1	31	str	0	10	15		0	0	0		0	0	0			ring	scep	mace	tors	    	    	    	    	    	    	0	0	0
of the Titan	100	1	1	74	0	50			0	1	31	str	0	16	20		0	0	0		0	0	0	1	dgld	ring	scep	mace	tors	    	    	    	    	    	    	0	0	0
of Strength	1	1	1	12	0	8			0	1	31	str	0	1	2		0	0	0		0	0	0			mele	glov	shld	    	    	    	    	blun	    	    	0	0	0
of Might	1	1	1	33	0	25			0	1	31	str	0	3	5		0	0	0		0	0	0			mele	glov	shld	    	    	    	    	blun	    	    	0	0	0
of the Ox	1	1	1	45	0	37			0	1	31	str	0	6	9		0	0	0		0	0	0			mele	glov	shld	    	    	    	    	blun	    	    	0	0	0
of the Giant	100	1	1	59	0	50			0	1	31	str	0	10	15		0	0	0		0	0	0	1	dgld	mele	glov	    	    	    	    	    	blun	    	    	0	0	0
of Strength	100	1	1	1	0	1			0	1	31	str	0	3	4		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Strength	100	1	1	3	0	2			0	1	31	str	0	2	3		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Strength	100	1	1	7	0	5			0	1	31	str	0	1	1		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Strength	100	1	1	14	0	10			0	1	31	str	0	5	6		0	0	0		0	0	0			lcha	qcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Strength	100	1	1	18	0	13			0	1	31	str	0	4	5		0	0	0		0	0	0			mcha	tcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Strength	100	1	1	22	0	16			0	1	31	str	0	2	2		0	0	0		0	0	0			scha	tcha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Virility	100	1	1	18	0	13			0	1	31	str	0	1	4		0	0	0		0	0	0			jewl	ncha	ocha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Virility	100	1	1	33	0	25			0	1	31	str	0	5	6		0	0	0		0	0	0			jewl	ncha	ocha	rcha	kcha	    	    	    	    	    	0	0	0
of Virility	100	1	1	50	0	42			0	1	31	str	0	7	9		0	0	0		0	0	0			jewl	ncha	ocha	rcha	kcha	    	    	    	    	    	0	0	0
of Pacing	1	1	1	12	0	8			0	1	35	move1	0	10	10		0	0	0		0	0	0			boot	circ	    	    	    	    	    	    	    	    	0	0	0
of Haste	1	1	1	22	0	16			0	1	35	move2	0	20	20		0	0	0		0	0	0			boot	circ	    	    	    	    	    	    	    	    	0	0	0
of Speed	1	1	1	37	0	29			0	1	35	move3	0	30	30		0	0	0		0	0	0			boot	circ	    	    	    	    	    	    	    	    	0	0	0
of Traveling	100	1	0	65	0	50			0	1	35	move3	0	30	30		0	0	0		0	0	0			boot	    	    	    	    	    	    	    	    	    	0	0	0
of Acceleration	100	1	0	51	0	43			0	1	35	move3	0	40	40		0	0	0		0	0	0			boot	    	    	    	    	    	    	    	    	    	0	0	0
of Inertia	100	1	1	19	0	14			0	1	35	move3	0	7	7		0	0	0		0	0	0			lcha	qcha	    	    	    	    	    	    	    	    	0	0	0
of Inertia	100	1	1	24	0	18			0	1	35	move2	0	5	5		0	0	0		0	0	0			mcha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Inertia	100	1	0	35	0	1			0	1	35	move1	0	10	50		0	0	0		0	0	0			scha	tcha	hcha	wcha	rcha	kcha	    	    	    	    	0	0	0
of Self-Repair	100	1	1	3	0	1			0	1	37	rep-dur	3	0	0		0	0	0		0	0	0			weap	armo	    	    	    	    	    	thro	miss	    	0	0	0
of Fast Repair	100	1	1	20	0	12			0	1	37	rep-dur	5	0	0		0	0	0		0	0	0			weap	armo	    	    	    	    	    	thro	miss	    	0	0	0
of Ages	100	1	1	50	0	42			0	1	39	indestruct	0	0	0		0	0	0		0	0	0			weap	armo	    	    	    	    	    	thro	miss	    	0	0	0
of Replenishing	100	1	1	5	0	3			0	1	39	rep-quant	5	0	0		0	0	0		0	0	0			thro	    	    	    	    	    	    	    	    	    	0	0	0
of Propogation	100	1	1	24	0	18			0	1	39	rep-quant	10	0	0		0	0	0		0	0	0			thro	miss	    	    	    	    	    	    	    	    	0	0	0
of the Kraken	100	1	1	20	0	1			0	1	41	hp/lvl	6	0	0		0	0	0		0	0	0	1	cred	tors	amul	pelt	phlm	    	    	    	    	    	    	0	0	0
of Memory	100	1	1	20	0	1			0	1	41	mana/lvl	6	0	0		0	0	0		0	0	0	1	cred	circ	amul	pelt	    	    	    	    	    	    	    	0	0	0
of the Elephant	100	1	1	37	0	7			0	1	41	hp/lvl	4	0	0	mana/lvl	2	0	0		0	0	0	1	cred	circ	pelt	    	    	    	    	    	    	    	    	0	0	0
of Power	100	1	1	50	0	40			0	1	42	str%	0	6	12		0	0	0		0	0	0	1	dgld	belt	amul	    	    	    	    	    	    	    	    	0	0	0
of Grace	100	1	1	50	0	40			0	1	42	dex%	0	6	12		0	0	0		0	0	0	1	dgld	helm	amul	    	    	    	    	    	    	    	    	0	0	0
of Grace and Power	100	1	1	50	0	40			0	1	42	str%	0	3	6	dex%	0	3	6		0	0	0	1	dgld	amul	    	    	    	    	    	    	    	    	    	0	0	0
of the Yeti	100	0	0	1	0	1			0	1	43	res-cold/lvl	3	0	0		0	0	0		0	0	0	1	lblu	tors	glov	amul	    	    	    	    	    	    	    	0	0	0
of the Phoenix	100	0	0	1	0	1			0	1	43	res-fire/lvl	3	0	0		0	0	0		0	0	0	1	cred	shld	helm	amul	    	    	    	    	    	    	    	0	0	0
of the Efreeti	100	0	0	1	0	1			0	1	43	res-ltng/lvl	3	0	0		0	0	0		0	0	0	1	cblu	glov	boot	ring	    	    	    	    	    	    	    	0	0	0
of the Cobra	100	0	0	1	0	1			0	1	43	res-pois/lvl	3	0	0		0	0	0		0	0	0	1	dyel	belt	ring	amul	    	    	    	    	    	    	    	0	0	0
of the Elements	100	0	0	1	0	1			0	1	43	res-cold/lvl	1	0	0	res-fire/lvl	1	0	0	res-ltng/lvl	1	0	0	1	dgld	circ	    	    	    	    	    	    	    	    	    	0	0	0
of Firebolts	100	1	1	16	0	12			0	1	44	hit-skill	36	10	8		0	0	0		0	0	0			weap	    	    	    	    	    	    	miss	    	    	0	0	0
of Firebolts	100	1	1	6	0	4			0	1	44	att-skill	36	5	3		0	0	0		0	0	0			weap	    	    	    	    	    	    	miss	    	    	0	0	0
of Firebolts	100	1	1	20	0	15			0	1	44	att-skill	36	10	4		0	0	0		0	0	0			weap	    	    	    	    	    	    	miss	    	    	0	0	0
of Charged Shield	100	1	1	6	0	4			0	1	44	gethit-skill	38	10	3		0	0	0		0	0	0			armo	ring	amul	    	    	    	    	    	    	    	0	0	0
of Charged Shield	100	1	1	16	0	12			0	1	44	gethit-skill	38	12	4		0	0	0		0	0	0			armo	ring	amul	    	    	    	    	    	    	    	0	0	0
of Charged Shield	100	1	1	26	0	19			0	1	44	gethit-skill	38	14	5		0	0	0		0	0	0			armo	ring	amul	    	    	    	    	    	    	    	0	0	0
of Icebolt	100	1	1	6	0	4			0	1	44	att-skill	39	5	3		0	0	0		0	0	0	1	lblu	weap	    	    	    	    	    	    	miss	    	    	0	0	0
of Frost Shield	100	1	1	12	0	9			0	1	44	gethit-skill	44	5	3		0	0	0		0	0	0	1	lblu	armo	amul	    	    	    	    	    	    	    	    	0	0	0
of Nova	100	1	1	18	0	13			0	1	44	hit-skill	48	10	3		0	0	0		0	0	0	1	cblu	weap	mboq	mxbq	    	    	    	    	miss	    	    	0	0	0
of Nova	100	1	1	28	0	21			0	1	44	hit-skill	48	12	4		0	0	0		0	0	0	1	cblu	weap	mboq	mxbq	    	    	    	    	miss	    	    	0	0	0
of Nova Shield	100	1	1	18	0	13			0	1	44	gethit-skill	48	10	3		0	0	0		0	0	0	1	cblu	armo	ring	    	    	    	    	    	    	    	    	0	0	0
of Nova Shield	100	1	1	28	0	21			0	1	44	gethit-skill	48	12	4		0	0	0		0	0	0	1	cblu	armo	ring	    	    	    	    	    	    	    	    	0	0	0
of Nova Shield	100	1	1	38	0	28			0	1	44	gethit-skill	48	14	5		0	0	0		0	0	0	1	cblu	armo	ring	    	    	    	    	    	    	    	    	0	0	0
of Lightning	100	1	1	18	0	13			0	1	44	att-skill	49	5	3		0	0	0		0	0	0	1	cblu	weap	    	    	    	    	    	    	miss	    	    	0	0	0
of Chain Lightning	100	1	1	25	0	18			0	1	44	att-skill	53	5	3		0	0	0		0	0	0			weap	ring	amul	mboq	mxbq	    	    	miss	    	    	0	0	0
of Chain Lightning	100	1	1	35	0	26			0	1	44	att-skill	53	8	3		0	0	0		0	0	0			weap	ring	amul	mboq	mxbq	    	    	miss	    	    	0	0	0
of Chain Lightning	100	1	1	45	0	33			0	1	44	att-skill	53	8	5		0	0	0		0	0	0			weap	ring	amul	mboq	mxbq	    	    	miss	    	    	0	0	0
of Teleport Shield	100	0	0	25	0	18			0	1	44	gethit-skill	54	10	3		0	0	0		0	0	0	1	whit	armo	ring	amul	    	    	    	    	    	    	    	0	0	0
of Teleport Shield	100	0	0	35	0	26			0	1	44	gethit-skill	54	14	3		0	0	0		0	0	0	1	whit	armo	ring	amul	    	    	    	    	    	    	    	0	0	0
of Teleport Shield	100	0	0	45	0	33			0	1	44	gethit-skill	54	18	3		0	0	0		0	0	0	1	whit	armo	ring	amul	    	    	    	    	    	    	    	0	0	0
of Hydra Shield	100	1	1	40	0	30			0	1	44	gethit-skill	62	10	3		0	0	0		0	0	0	1	cred	amul	    	    	    	    	    	    	    	    	    	0	0	0
of Damage Amplification	100	1	1	3	0	0			0	1	44	hit-skill	66	5	1		0	0	0		0	0	0			weap	    	    	    	    	    	    	orb 	    	    	0	0	0
