skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Iron Skin	145	bar	iron skin																																											ironskin		skill_armor_percent	ln12																																																												1	0		none												SC	SC	xx				1																					(skill('Iron Skin'.blvl) < 100) ? (skill('Iron Skin'.blvl)/50+1) : ((skill('Iron Skin'.blvl)-50)/25+1)	80	250																			0	8	0	0	1						1												30	% AC bonus	10	% AC bonus per level													1								8																																				160	2000
Battle Cry	146	bar	battle cry		68												battlecry				98304		battlecry	ln12		skill_armor_percent	ln34	damagepercent	ln56																																																	barbarian_battlecry_1														25					battlecry												1	9		none												SC	SC	xx				1																					(skill('Battle Cry'.blvl) < 100) ? (skill('Battle Cry'.blvl)/50+1) : ((skill('Battle Cry'.blvl)-50)/25+1)	70	250					Taunt														1	8	5	0	1																		300	duration	60	duration/level	-50	% AC bonus	-2	% AC bonus per level	-25	$ damage bonus	-1	% damage bonus per level					1								8																																				160	2000
Frenzy	147	bar	frenzy		9																	frenzy		par7		velocitypercent	"min(par4, par3 + lvl)"	attackrate	"min(par6, par5 + lvl)"																																																			1												39																	1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1										(skill('Frenzy'.blvl) < 100) ? (skill('Frenzy'.blvl)/50+1) : ((skill('Frenzy'.blvl)-50)/25+1)	100	250					Double Throw								1						1	8	3	0											ln12 + (skill('Double Swing'.blvl) + skill('Taunt'.blvl)) * par8 / 250	damage%					skill('Berserk'.blvl) / 5	convert%	90	Damage % base	5	Damage % per level	20	min % run speed increase	100	max % run speed increase	0	min % attack speed increase	100	max % attack speed increase	150	duration	125	damage synergy	1	100	7						8	128														mag																					192	4000
Increased Speed	148	bar	increased speed																																											increasedspeed		velocitypercent	"min(100,ln12)"																																																												1	0		none												SC	SC	xx				1																					(skill('Increased Speed'.blvl) < 100) ? (skill('Increased Speed'.blvl)/50+1) : ((skill('Increased Speed'.blvl)-50)/25+1)	90	250					Increased Vitality														0	8	0	0	1						1												5	speed increase	1	speed increase per level													1								8																																				192	4000
Battle Orders	149	bar	battle orders		68												battleorders					battleorders	battleorders	ln12 + (skill('Shout'.blvl) + skill('Battle Command'.blvl)) * par8		item_maxmana_percent	ln34	item_maxhp_percent	ln34																																																	barbarian_battleorders_1														25					battleorders												1	9		none												SC	SC	xx				1																					(skill('Battle Orders'.blvl) < 100) ? (skill('Battle Orders'.blvl)/50+1) : ((skill('Battle Orders'.blvl)-50)/25+1)	100	250					Shout														1	8	7	0	1																		750	duration	150	duration/level	35	Base % increase	3	Increase per level							25	duration synergy	1	50	10						8																																				192	4000
Grim Ward	150	bar	grim ward	33	75												grimwardmediumstart	grimwardsmallstart	grimwardlargestart		2		terror	par6	ln12																																																												barbarian_grimward_1						26	41					grimwardmediumstart	grimwardsmallstart	grimwardlargestart										1	0		h2h												SC	SC	xx				1				1		6	1														(skill('Grim Ward'.blvl) < 100) ? (skill('Grim Ward'.blvl)/50+1) : ((skill('Grim Ward'.blvl)-50)/25+1)	90	250					Find Item														1	8	10	0	1										ln34	ward duration							16	radius	0	radius/level	500	duration	50	duration/level	20	Distance to run	100	Monster scare duration					1								8																																				192	4000
Whirlwind	151	bar	whirlwind	38	76																	whirlwind																																																						1		barbarian_whirlwind													31	45																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1										(skill('Whirlwind'.blvl) < 100) ? (skill('Whirlwind'.blvl)/50+1) : ((skill('Whirlwind'.blvl)-50)/25+1)	120	250					Leap Attack	Concentrate							1						1	7	50	1											ln12	damage%							-50	Damage percent per attack	8	Damage percent per level	1	Attacks per tick											1		5						8	128																																			224	8000
Berserk	152	bar	berserk	39	2																	berserk		"par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))"		damageresist	par5	armor_override_percent	-100																																																	barbarian_grunt_large_1	1																														1	4		h2h		mele										A1	A1	xx				1		1	1								1										(skill('Berserk'.blvl) < 100) ? (skill('Berserk'.blvl)/50+1) : ((skill('Berserk'.blvl)-50)/25+1)	115	250					Concentrate								1						1	8	4	0	1										ln12 + (skill('Howl'.blvl) + skill('Shout'.blvl)) * par8 / 250	damage%	"par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))"	duration			skill('Berserk'.blvl) / 5 + 25	convert%	150	Damage % base	15	Damage % per level	25	min vulnerable duration	75	max vulerable duration	0	damage resist bonus					125	damage synergy	1	100	15						8	128														mag																					224	8000
Natural Resistance	153	bar	natural resistance																																											naturalresistance		fireresist	ln12	lightresist	ln12	coldresist	ln12	poisonresist	ln12	magicresist	ln12																																																				1	0		none												SC	SC	xx				1																					(skill('Natural Resistance'.blvl) < 100) ? (skill('Natural Resistance'.blvl)/50+1) : ((skill('Natural Resistance'.blvl)-50)/25+1)	120	250					Iron Skin														0	8	0	0	1						1												10	resistance bonus	4	resistance bonus per level													1								8																																				224	8000
War Cry	154	bar	war cry		68												warcry																																																													barbarian_warcry_1										warcry				25					warcry												1	9		none												SC	SC	xx				1																					(skill('War Cry'.blvl) < 100) ? (skill('War Cry'.blvl)/50+1) : ((skill('War Cry'.blvl)-50)/25+1)	110	250					Battle Cry	Battle Orders													1	8	10	1	1																		25	stun length	1	stun length per level											50	damage synergy	1								8		30	6	12	18	24	30	50	6	12	18	24	30	(skill('Howl'.blvl) + skill('Taunt'.blvl) + skill('Battle Cry'.blvl)) * par8 / 250 + stat(0.accr) / 4																						224	8000
Battle Command	155	bar	battle command		68												battlecommand					battlecommand	battlecommand	ln12 + (skill('Shout'.blvl) + skill('Battle Orders'.blvl)) * par8		item_allskills	1 + lvl / 25																																																			barbarian_command_1														25					battlecommand												1	9		none												SC	SC	xx				1																					(skill('Battle Command'.blvl) < 100) ? (skill('Battle Command'.blvl)/50+1) : ((skill('Battle Command'.blvl)-50)/25+1)	110	250					Battle Orders														1	8	11	0	1																		300	duration	75	duration/level											25	duration synergy	1								8																																				224	8000
Fire Hit	156			42	83																																																																																																								1	0		none												SQ	SQ	xx				1																						1																					8	0	0	1																		1	base damage	5	extra per level	50	duration	50	duration/level									1	20	10						8																																				0	0
UnHolyBolt	157				85												unholybolt1																																																																															unholybolt1													1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
SkeletonRaise	158																																																																																																												1	0		none												SQ	SQ	xx								1	1		1															1																					8	0	0	1																																		1								8																																				0	0
MaggotEgg	159			43	84																																																																								sandmaggotegg_hatch_1															46																	1	0		none												SQ	SQ	xx																										1																					8	0	0	1									 	"(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)"	# to spawn																							1								8																																				0	0
ShamanFire	160				85												shafire1																																																																															shafire1													1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
MagottUp	161			44																																																																									sandmaggot_emerge														32						dirt pile	sand pile											1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
MagottDown	162			45	86																																																																								sandmaggot_burrow														33	47																	1	0		none												SQ	SQ	xx																										1																					8	0	0	1										10	heal%																							1								8																																				0	0
MagottLay	163				87																																																																																																								1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
AndrialSpray	164			46	88												andarielspray																																																																										34	48					andarielspray												1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
Jump	165			47	89																																																																																																								1	0		none												SQ	SQ	xx																										1																					8	0	0	1										10	damage%																							1	15	5						8																																				0	0
Swarm Move	166			48	90																																																																																						35	49																	1	0		none												SQ	SQ	xx																										1																					8	0	0	1										11	do frame	19	stop frame																					1								8																																				0	0
Nest	167			49	91																																																																																						36	50																	1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
Quick Strike	168			50	92												raven1																																																																																												1	0		none												SQ	SQ	xx							1																			1																					8	0	0	1																																		1								8																																				0	0
VampireFireball	169													vampirefireball																																																																																		vampirefireball													1	0		none												SQ	SQ	SC																										1																					8	0	0	1																																		1								8																																				0	0
VampireFirewall	170				24												vampirefirewallmaker	vampirefirewall																																																																										26					vampirefirewallmaker												1	0		none												SQ	SQ	SC																										1																					8	0	0	1																																		1																																												0	0
VampireMeteor	171				28												vampiremeteorcenter								ln12																																																								sorceress_meteor							fire_cast_2				28					vampiremeteorcenter												1	0		none												SQ	SQ	SC																										1																					8	0	0	1										ln12								15	radius of explosion	0	radius/level	30	Frames of fire	15	Frames of fire per level									1								8															fire	30	20	30	40	50	60	50	20	30	40	50	60									0	0
GargoyleTrap	172				93												shafire3																																																																											51					shafire3												1	0		none												SQ	SQ	xx	18																									1																					8	0	0	1																																		1								8																																				0	0
SpiderLay	173				23																	spiderlay	slowed	300		velocitypercent	-100																																																																																		1	0		none												SQ	SQ	A2																										1																					8	0	0	1																20	frames to apply aura to target	30	Slow Duration/Level	75	Duration/Level													1								8																																				0	0
VampireHeal	174																																																																																																												1	0		none												SQ	SQ	SC																										1																					8	0	0	1																																		1								8																																				0	0
VampireRaise	175																																																																																																												1	0		none												SQ	SQ	SC							1	1	1		1															1																					8	0	0	1																																		1								8																																				0	0
Submerge	176			51	94																																																																																						37	52																	1	0		none												SQ	SQ	xx																										1																					8	0	0	1																																		1								8																																				0	0
FetishAura	177				111																				ln12																																																				necromancer_curse_1															53					curseeffectred				3	density							1	0		none												SQ	SQ	SC																										1																					8	0	0	1																		10	Base stat mod	50	Duration/Level	5	Stat Mod/Level	10	Base Range ( + 2/Lvl )									1								8																																				0	0
FetishInferno	178			53	95												fetishinferno1																																																																											54					fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	A1																										1																					8	0	0	1												par1	length of fire	3	density			15	frame length															1								8																																				0	0
ZakarumHeal	179				96															receiving																																																																receiving				healing																					1	0		none												SQ	SQ	S1																										1																					8	0	0	1										15+5*lvl	min heal%	50	max heal %					15	?	30	?	5	?	0	?									1								8																																				0	0
Emerge	180			52																																																																																							38																		1	0		none												SQ	SQ	S1																										1																					8	0	0	1																																		1								8																																				0	0
Resurrect	181				97																																																																								fallenshaman_resurrect_cast											healing			39																		1	0		none												SQ	SQ	xx							1	1	1		1					1										1																					8	0	0	1																																		1								8																																				0	0
Bestow	182				96															receiving																																																																																									1	0		none												SQ	SQ	xx							1																			1																					8	0	0	1																																		1								8																																				0	0
MissileSkill1	183				110																																																																																							66																	1	0		none												SQ	SQ	S1																										1																					8	0	0	1																																		1								8																																				0	0
MonTeleport	184				98																																																																								sorceress_teleport											teleport																					1	0		none												SQ	SQ	S1																										1																					8	0	0	1																																		1								8																																				0	0
PrimeLightning	185													monsterlight																																																															mephisto_lightning_cast																			monsterlight													1	0		none												SQ	SQ	A2																										1																					8	0	0	1																																		1								8																																				0	0
PrimeBolt	186				17												chargedstrikebolt																																																												mephisto_chargedbolt_cast															23					chargedbolt												1	0		none												SQ	SQ	A1																										1																					8	0	0	1										lvl+2	#bolts																							1								8																																				0	0
PrimeBlaze	187				23												blaze					blaze		dm12																																																					monster_cast_fire																			blaze													1	0		none												SQ	SQ	A1																										1																					8	0	0	1																		0	?	60	duration/level	0	?	0	?									1								8																																				0	0
PrimeFirewall	188				24												vampirefirewallmaker	vampirefirewall																																																											monster_cast_fire															26					vampirefirewallmaker												1	0		none												SQ	SQ	A1																										1																					8	0	0	1																		0	?	0	?	0	?	0	?									1								8																																				0	0
PrimeSpike	189													monglacialspike										ln12	ln34																																																				monster_cast_cold																			monglacialspike													1	0		none												SQ	SQ	A1																										1																					8	0	0	1																		8	radius	0	radius per level	25	freeze frames	10	freeze frames per level									1								8																																				0	0
PrimeIceNova	190				22												frostnova																																																												monster_cast_cold															25					frostnova												1	0		none												SQ	SQ	A1																										1																					8	0	0	1																		0	?	0	?	0	?	0	?									1								8																																				0	0
PrimePoisonball	191				8												poisonball																																																												mephisto_orb_cast															17					poisonball												1	0		none												SQ	SQ	A1																										1																					8	0	0	1										3	#missiles	1	activate frame					0	?	0	?	0	?	0	?									1								8																																				0	0
PrimePoisonNova	192				99												primepoisoncloud																																																																											55					primepoisoncloud												1	0		none												SQ	SQ	A1																										1																					8	0	0	1										lvl-1	#subloops	2	skip					0	?	0	?	0	?	0	?									1								8																																				0	0
DiabLight	193			53	152												diablight																																																												diablo_laser_cast														40	56					diablight				0	interval							1	0		none												SQ	SQ	SC																										1																					8	0	0	1	1											par1	length of fire	2	density			40	frame length	0	?	0	?	0	?									1								8																																				0	0
DiabCold	194				100																																																																								diablo_cold_cast																																1	0		none												SQ	SQ	S2																										1																					8	0	0	1	1																	0	?	200	Frames	0	?	0	?									1								8															mag	30	15	30	60	90	120	90	15	30	60	90	120	stat(357.accr)	100	50	50	50				0	0
DiabFire	195				22												diabfire																																																												diablo_fire_cast															25					diabfire												1	0		none												SQ	SQ	S1																										1																					8	0	0	1	1																	0	?	0	?	0	?	0	?									1								8																																				0	0
FingerMageSpider	196				101												fingermagespider						fingermagecurse	ln12		manarecovery	0 - par3 * lvl																																																		fingermage_bolt_cast_1															57					fingermagespider												1	0		none												SQ	SQ	S1																										1																					8	0	0	1										lvl-1	#subloops							30	base frames	5	frames per level	50	unshifted damage per frame	0	?									1								8																																				0	0
DiabWall	197				102												diabwallmaker																																																												diablo_fire_cast															58					diabwallmaker												1	0		none												SQ	SQ	S1																										1																					8	0	0	1	1									lvl	#missiles							0	?	0	?	0	?	0	?									1								8																																				0	0
DiabRun	198			54	103																																																																								diablo_run														41	59																	1	0		none												SQ	SQ	xx	22																									1																					8	0	0	1	1									20	velocity							8	stop anim len	14	stop anim frame	5	start frame	13	repeat on frame	16	repeat len	6	repeat back frame					1				5				8		50	15	30	45	60	75	100	15	30	45	60	75																							0	0
DiabPrison	199				104																																																							boneprison1	none																diablo_boneprison_rise																																1	0		none												SQ	SQ	S3																										1																					8	0	0	1	1																	0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
PoisonBallTrap	200													trap poison ball left																																																																																		trap poison ball left													1	0		none												SC	SC	S1																										1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		100	20	40	60	80	100	200	20	40	60	80	100																							0	0
AndyPoisonBolt	201													andypoisonbolt																																																																																		andypoisonbolt													1	0		none												SQ	SQ	A1																										1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
HireableMissile	202				110																																																																																							66																	1	0		none												SQ	SQ	A1																										1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
DesertTurret	203				105												desertfireball																																																																											60					desertfireball												1	0		none												SQ	SQ	xx	26																									1																					8	0	0	1										3	#missiles							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
ArcaneTower	204				106												lightningtowernova																																																												lightningorb_attack_1															61					lightningtowernova												1	0		none												SQ	SQ	xx	27																									1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
MonBlizzard	205				28												monblizcenter																																																												monster_cast_cold											ice_cast_2				28					monblizcenter												1	3		none												SQ	SQ	S1																										1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
Mosquito	206			55	107																																																																																						42	62																	1	0		none												SQ	SQ	xx	34																									1																					8	0	0	1										4	min loops	7	max loops	25	heal pct			12	reset loop frame	0	?	0	?	0	?	0	?	0	?					1								8		4	2	4	6	8	10	8	2	4	6	8	10		mag	4	6	9	12	15	18	8	6	9	12	15	18	stat(357.accr)	200							0	0
CursedBallTrapRight	207													trap cursed skull right																																																																																		trap cursed skull right													1	0		none												SC	SC	S2																										1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		15	5	10	15	20	25	30	5	10	15	20	25																							0	0
CursedBallTrapLeft	208													trap cursed skull left																																																																																		trap cursed skull left													1	0		none												SC	SC	S2																										1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8		15	5	10	15	20	25	30	5	10	15	20	25																							0	0
MonFrozenArmor	209				18																	frozenarmor		ln34		skill_armor_percent	ln12																																																		monster_cast_cold				sorceress_frozenarmor							ice_cast_3																					1	0		none												SQ	SQ	SC																										1																					8	0	0	1																		30	% AC base	5	% AC per level	3600	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level					1								8																																		1		0	0
MonBoneArmor	210				18																	bonearmor				bonearmor	ln12*256	bonearmormax	ln12*256																																																necromancer_bonearmor																																1	0		none												SQ	SQ	S1																										1																					8	0	0	1																		1000	damage absorbed	500	additional absorbed/level	0	?	0	?	0	?	0	?					1								8																																				0	0
MonBoneSpirit	211				10												monbonespirit	monbonespirit																																																											monster_cast_fire															18					monbonespirit	monbonespirit											1	0		none												SQ	SQ	S1																										1																					8	0	0	1																		15	Search range	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
MonCurseCast	212				112																			ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	5		none												SQ	SQ	S2																										1																					8	0	0	1																		12	radius	0	radius per level	300	duration	50	additional duration/level	25	min % resist lower	150	max % resist lower	-50	speed			1								8																																				0	0
HellMeteor	213				28												hellmeteordown																																																																										44																		1	4		none												SQ	SQ	A1																										1																					8	0	0	1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
RegurgitatorEat	214				108																																																																								regurgitator_eat_1															63					corpseexplosion	bigblood1											1	2		none												SQ	SQ	S1									1		1															1																					8	0	0	1										33	heal% of target hp							0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
MonFrenzy	215			64	109																	monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																																														1	3		none												SQ	SQ	A2				1		1	1																			1																					8	0	0	1																		200	duration	25	duration/level	30	min % speed increase	110	max % speed increase	0	?	0	?					1	10	10						8	128																																			0	0
QueenDeath	216																																																																																											64																	1	0		none												SQ	SQ	xx	41																									1																					8	0	0																			0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
Scroll of Identify	217		scroll of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5					8	0	0		1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
Book of Identify	218		book of identify		113																																																																																																									0		none												SC	SC	xx																										1									1							5					8	0	0		1								1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
Scroll of Townportal	219		scroll of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5					8	0	0										1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
Book of Townportal	220		book of townportal		113																																																																																																									0		none												SC	SC	xx																										1									1							5					8	0	0										1									0	?	0	?	0	?	0	?	0	?	0	?					1								8																																				0	0
Raven	221	dru	raven		114																																																							druidhawk	raven	"min(lvl,par2)"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4																				(skill('Raven'.blvl) < 100) ? (skill('Raven'.blvl)/50+1) : ((skill('Raven'.blvl)-50)/25+1)	5	250								1											1	8	6	1	1	1									0	hp adj	10 + lvl * 19 / 20	raven lvl					0	monster level = your level + this + SkillLevel	40	Max ravens	0	?	0	?	10	Attacks	5	Attacks per level					1	100	15						8		4	2	4	6	8	10	8	2	4	6	8	10		pois	12	6	12	18	24	30	12	6	12	18	24	30		100							64	125
Plague Poppy	222	dru	plague poppy		115																	vine_beast																																						plaguepoppy	vine	1	S1	Vine Attack	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																				(skill('Plague Poppy'.blvl) < 100) ? (skill('Plague Poppy'.blvl)/50+1) : ((skill('Plague Poppy'.blvl)-50)/25+1)	15	250								1											1	8	8	0	1	1									par3 * (lvl-1)	hp %	10 + lvl * 19 / 20	vine lvl					16	Number of vines	0	vines per level	25	% more hitpoints per level	0	?	0	?	0	?					1								4															pois	4	2	3	4	5	6	4	2	3	4	5	6		100							64	125
Wearwolf	223	dru	wearwolf		116																	wolf		1000 + skill('Shape Shifting'.ln12)		skill_staminapercent	par1	attackrate	"min(par4, par3 + lvl / 2)"	item_tohit_percent	toht	item_maxhp_percent	par2 + skill('Shape Shifting'.ln34)																																																								wolf_into	wolf_undo	45																		1	0		none												SC	SC	xx	22			1													1								(skill('Wearwolf'.blvl) < 100) ? (skill('Wearwolf'.blvl)/50+1) : ((skill('Wearwolf'.blvl)-50)/25+1)	10	250								1				25				1			1	8	15	0		1																	25	% stamina increase	35	% hitpoints increase	10	% min speed increase	100	% max speed increase	0	?	0	?					1	50	15						8	128																																			64	125
Shape Shifting	224	dru	shape shifting																																																																																																										1	0		none												SC	SC	xx				1																					(skill('Shape Shifting'.blvl) < 100) ? (skill('Shape Shifting'.blvl)/50+1) : ((skill('Shape Shifting'.blvl)-50)/25+1)	20	250					Wearwolf														0	8	0	0	1						1												1000	Base duration of all forms	250	Bonus duration per level	10	% base hitpoint bonus	2	% hitpoints per level	0	?	0	?					1								8																																				64	125
Firestorm	225	dru	firestorm		117												firestormmaker																																																												druid_firecast_b											druid_fire_cast_1				67					firestormmaker												1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1	(skill('Firestorm'.blvl) < 100) ? (skill('Firestorm'.blvl)/50+1) : ((skill('Firestorm'.blvl)-50)/25+1)	20	250												10	1						1	8	4	0	1										ln12	# missiles							6	Number of missiles	0	Number of missiles per level	0	?	0	?	0	?	0	?			50	damage synergy	1								4															fire	10	5	10	15	20	25	15	5	10	15	20	25	(skill('Molten Boulder'.blvl) + skill('Eruption'.blvl)) * par8 / 250								64	125
Oak Sage	226	dru	oak sage		119																																											poisonresist	100	maxpoisonresist	100									oaksage	totem	1	NU	Oak Sage Aura	lvl												druid_summon																																1	0		none												SC	SC	xx				1	4																				(skill('Oak Sage'.blvl) < 100) ? (skill('Oak Sage'.blvl)/50+1) : ((skill('Oak Sage'.blvl)-50)/25+1)	40	250								1											1	8	15	1	1	1									(lvl-1)*par1	hp adj	20 + lvl * 18 / 20	totem lvl					20	% hitpoints more per level	2	% hitpoint bonus per level	250	duration of aura	0	?	0	?	0	?	30	radius	2	radius/lvl	1								8																																				96	375
Summon Spirit Wolf	227	dru	summon spirit wolf		119																					fireresist	"min(ln78,85)"	coldresist	"min(ln78,85)"	lightresist	"min(ln78,85)"	poisonresist	"min(ln78,85)"	magicresist	"min(ln78,85)"													item_armor_percent	(par4 * lvl) + ln56	tohit	ln12	damagepercent	skill('Summon Grizzly'.ln12)							spiritwolf	spiritwolf	"min(par3, (lvl < 5) ? lvl : (4+lvl/6))"	S1														druid_summon																																1	0		none												SC	SC	xx				1	4												1								(skill('Summon Spirit Wolf'.blvl) < 100) ? (skill('Summon Spirit Wolf'.blvl)/50+1) : ((skill('Summon Spirit Wolf'.blvl)-50)/25+1)	40	250					Raven			1											1	8	30	2	1	1									skill('Summon Fenris'.ln12)	hp %	20 + lvl * 18 / 20	pet lvl					30	% feral add to attack	10	% feral attack per level	25	max wolves	5	defense bonus	20	defense bonus	5	defense bonus per level	5	resist	2	resist/lvl	1	500	50						8		12	12	24	36	48	60	24	12	24	36	48	60		ltng	6	6	12	18	24	30	18	6	12	18	24	30									96	375
Wearbear	228	dru	wearbear		116																	bear		1000 + skill('Shape Shifting'.ln12)		damagepercent	ln12	skill_armor_percent	ln34	item_maxhp_percent	par5 + skill('Shape Shifting'.ln34)																																																										bear_into	bear_undo	45																		1	0		none												SC	SC	xx	22			1																					(skill('Wearbear'.blvl) < 100) ? (skill('Wearbear'.blvl)/50+1) : ((skill('Wearbear'.blvl)-50)/25+1)	30	250								1				25				1			1	8	15	0		1																	30	% Base bonus damage	5	% bonus damage per level	50	% increase armorclass	10	% armor class per level	75	% Base bonus hitpoints							1								8	128																																			96	375
Molten Boulder	229	dru	molten boulder											moltenboulderemerge											par1																																																				druid_firecast_b											druid_fire_cast_1								moltenboulderemerge													1	0		none												SC	SC	xx				1													1						druid_firecast_b	druid_fire_cast_1	(skill('Molten Boulder'.blvl) < 100) ? (skill('Molten Boulder'.blvl)/50+1) : ((skill('Molten Boulder'.blvl)-50)/25+1)	35	250					Firestorm							20	1						1	7	25	2	1																		10	Explosion Radius													50	damage synergy	1								8		8	16	32	48	64	80	24	16	32	48	64	80	skill('Volcano'.blvl) * par8 / 250 + stat(0.accr) / 4	fire	16	8	16	24	32	40	32	8	16	24	32	40	skill('Firestorm'.blvl) * par8 / 250								96	375
